Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67964,Invoice Number :,RS106067964,Start :,01/01/2016 07:20:35 AM,End : ,01/01/2016 07:21:04 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,SUBTOTAL,,,$7.48,,,,,,,,,
,TOTAL,,,$7.48,,,,,,,,,
,TOTAL TENDERED,,,$7.48,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Approval #: 364488,,,,,,,,,,,,
,Date: 1/1/16 7:21:04 AM PST,,,,,,,,,,,,
,Reference #: 364488,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67965,Invoice Number :,RS106067965,Start :,01/01/2016 07:23:59 AM,End : ,01/01/2016 07:25:51 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
748753922193,CG GRAPEFRUIT HGAL,1.000,$7.49,$7.49,,,,,,,,,
859612001024,21ST SEASONAL 6PK,1.000,$10.49,$10.49,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,1.000,$.30,$.30,,,,,,,,,
94749,SPINACH LOOSE,.380,$8.99,$3.42,,,,,,,,,
025317120005,APP TURKEY BACON,1.000,$3.99,$3.99,,,,,,,,,
881314661510,GREEN OAKS EGGS,1.000,$5.99,$5.99,,,,,,,,,
881314661510,GREEN OAKS EGGS,1.000,$5.99,$5.99,,,,,,,,,
850687104009,COR XV OLIVE OIL LG,1.000,$9.99,$9.99,,,,,,,,,
94087,TOMATO ROMA,1.130,$2.99,$3.38,,,,,,,,,
94093,ONION YELLOW,1.040,$1.49,$1.55,,,,,,,,,
94383,TANGELO MINNEOLA,.680,$1.99,$1.35,,,,,,,,,
,Debit Card,,,$53.94,,,,,,,,,
,SUBTOTAL,,,$53.94,,,,,,,,,
,TOTAL,,,$53.94,,,,,,,,,
,TOTAL TENDERED,,,$53.94,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 53.94,,,,,,,,,,,,
,Date: 1/1/16 7:25:51 AM PST,,,,,,,,,,,,
,Reference #: 0001,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67966,Invoice Number :,RS106067966,Start :,01/01/2016 07:26:19 AM,End : ,01/01/2016 07:28:28 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
078355530008,GGODS HONEY YOG 6OZ,1.000,$1.49,$1.49,,,,,,,,,
03699,FA BRKFST WRAP COLD,1.000,$2.99,$2.99,,,,,,,,,
94011,BANANA,.320,$.99,$.32,,,,,,,,,
,DISC 5%,,,($.08),,,,,,,,,
,DISC 5%,,,($.15),,,,,,,,,
,DISC 5%,,,($.02),,,,,,,,,
,EBT/SNAP,,,$4.55,,,,,,,,,
,SUBTOTAL,,,$4.55,,,,,,,,,
,TOTAL,,,$4.55,,,,,,,,,
,FSP ELIGIBLE,,,$4.55,,,,,,,,,
,TOTAL TENDERED,,,$4.55,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Approval #: 100158,,,,,,,,,,,,
,Date: 1/1/16 7:28:28 AM PST,,,,,,,,,,,,
,Reference #: 0002,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67967,Invoice Number :,RS106067967,Start :,01/01/2016 07:42:48 AM,End : ,01/01/2016 07:43:32 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
102,COFFEE 12 OZ,1.000,$1.50,$1.50,,,,,,,,,
370,FA FRESH SCONE,1.000,$2.25,$2.25,,,,,,,,,
668,FA BRKFST WRAP,1.000,$2.99,$2.99,,,,,,,,,
697,BREAKFAST BAR,.240,$8.99,$2.16,,,,,,,,,
,Credit Card,,,$8.90,,,,,,,,,
,SUBTOTAL,,,$8.90,,,,,,,,,
,TOTAL,,,$8.90,,,,,,,,,
,TOTAL TENDERED,,,$8.90,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 8.90,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67967,Invoice Number :,RS106067967,Start :,01/01/2016 07:42:48 AM,End : ,01/01/2016 07:43:32 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Approval #: 00239W,,,,,,,,,,,,
,Date: 1/1/16 7:43:32 AM PST,,,,,,,,,,,,
,Reference #: 0003,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67968,Invoice Number :,RS106067968,Start :,01/01/2016 07:57:39 AM,End : ,01/01/2016 07:57:56 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94011,BANANA,.360,$.99,$.36,,,,,,,,,
,Gift Card,,,$.36,,,,,,,,,
,SUBTOTAL,,,$.36,,,,,,,,,
,TOTAL,,,$.36,,,,,,,,,
,TOTAL TENDERED,,,$.36,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Approval #: 366019,,,,,,,,,,,,
,Date: 1/1/16 7:57:56 AM PST,,,,,,,,,,,,
,Reference #: 366019,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67969,Invoice Number :,RS106067969,Start :,01/01/2016 07:59:48 AM,End : ,01/01/2016 08:00:25 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
697,BREAKFAST BAR,.360,$8.99,$3.24,,,,,,,,,
668,FA BRKFST WRAP,1.000,$2.99,$2.99,,,,,,,,,
,Debit Card,,,$6.23,,,,,,,,,
,SUBTOTAL,,,$6.23,,,,,,,,,
,TOTAL,,,$6.23,,,,,,,,,
,TOTAL TENDERED,,,$6.23,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67969,Invoice Number :,RS106067969,Start :,01/01/2016 07:59:48 AM,End : ,01/01/2016 08:00:25 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Amount: 6.23,,,,,,,,,,,,
,Date: 1/1/16 8:00:25 AM PST,,,,,,,,,,,,
,Reference #: 0004,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64807,Invoice Number :,RS105064807,Start :,01/01/2016 08:00:47 AM,End : ,01/01/2016 08:01:48 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1915,PACIF BLK ROCK MT CLOUDS,.550,$10.79,$5.93,,,,,,,,,
093966000856,OVAL LF BUTTERMILK,1.000,$3.59,$3.59,,,,,,,,,
093966003734,OV HG UHT HALF & HAL,1.000,$6.99,$6.99,,,,,,,,,
071101001838,NNEST EGGS LARGE AA,1.000,$3.29,$3.29,,,,,,,,,
94130,APPLE PINK LADY,1.060,$2.99,$3.17,,,,,,,,,
,Debit Card,,,$22.97,,,,,,,,,
,SUBTOTAL,,,$22.97,,,,,,,,,
,TOTAL,,,$22.97,,,,,,,,,
,TOTAL TENDERED,,,$22.97,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 22.97,,,,,,,,,,,,
,Date: 1/1/16 8:01:48 AM PST,,,,,,,,,,,,
,Reference #: 0005,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67970,Invoice Number :,RS106067970,Start :,01/01/2016 08:07:26 AM,End : ,01/01/2016 08:08:17 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
697,BREAKFAST BAR,.300,$8.99,$2.70,,,,,,,,,
2714,OATS GF LOCAL,1.470,$2.19,$3.22,,,,,,,,,
102,COFFEE 12 OZ,1.000,$1.50,$1.50,,,,,,,,,
723830000025,LAGUNITAS IMPERIAL S,1.000,$3.99,$3.99,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
49,BEER DEPOSIT,1.000,$.05,$.05,,,,,,,,,
93288,POTATO SWEET PURPLE,.880,$2.99,$2.63,,,,,,,,,
94091,POTATO SWEET JAPANESE,.780,$1.99,$1.55,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67970,Invoice Number :,RS106067970,Start :,01/01/2016 08:07:26 AM,End : ,01/01/2016 08:08:17 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
668,FA BRKFST WRAP,1.000,$2.99,$2.99,,,,,,,,,
,Credit Card,,,$18.63,,,,,,,,,
,SUBTOTAL,,,$18.63,,,,,,,,,
,TOTAL,,,$18.63,,,,,,,,,
,TOTAL TENDERED,,,$18.63,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 18.63,,,,,,,,,,,,
,Approval #: 011080,,,,,,,,,,,,
,Date: 1/1/16 8:08:17 AM PST,,,,,,,,,,,,
,Reference #: 0006,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64808,Invoice Number :,RS105064808,Start :,01/01/2016 08:07:49 AM,End : ,01/01/2016 08:08:42 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
55,4 PK DEPOSIT,1.000,$.20,$.20,,,,,,,,,
55,Removed >> 4 PK DEPOSIT,(1.000),$.20,($.20),,,,,,,,,
555,FA EGG HARD BOILED,1.000,$.79,$.79,,,,,,,,,
360,FA FRESH MUFFIN,1.000,$2.25,$2.25,,,,,,,,,
668,FA BRKFST WRAP,1.000,$2.99,$2.99,,,,,,,,,
011259904247,TN COCONUT WATER,1.000,$4.89,$4.89,,,,,,,,,
697068120117,UM OJ PULP FREE SM,1.000,$2.49,$2.49,,,,,,,,,
795709010152,WALLABY LF VAN 6OZ,1.000,$1.29,$1.29,,,,,,,,,
,DISC 5%,,,($.04),,,,,,,,,
,DISC 5%,,,($.12),,,,,,,,,
,DISC 5%,,,($.15),,,,,,,,,
,DISC 5%,,,($.25),,,,,,,,,
,DISC 5%,,,($.13),,,,,,,,,
,DISC 5%,,,($.07),,,,,,,,,
,Debit Card,,,$33.94,,,,,,,,,
,SUBTOTAL,,,$13.94,,,,,,,,,
,TOTAL,,,$13.94,,,,,,,,,
,TOTAL TENDERED,,,$33.94,,,,,,,,,
,Change,,,$20.00,,,,,,,,,
,Account #: XXXXXXXXXXXX2674,,,,,,,,,,,,
,Exp Date : 0919,,,,,,,,,,,,
,Amount: 33.94,,,,,,,,,,,,
,Date: 1/1/16 8:08:42 AM PST,,,,,,,,,,,,
,Reference #: 0007,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67971,Invoice Number :,RS106067971,Start :,01/01/2016 08:08:34 AM,End : ,01/01/2016 08:09:08 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
697,BREAKFAST BAR,.420,$8.99,$3.78,,,,,,,,,
,DISC STAFF 15%,,,($.57),,,,,,,,,
,Cash,,,$20.01,,,,,,,,,
,SUBTOTAL,,,$3.21,,,,,,,,,
,TOTAL,,,$3.21,,,,,,,,,
,TOTAL TENDERED,,,$20.01,,,,,,,,,
,Change,,,$16.80,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67972,Invoice Number :,RS106067972,Start :,01/01/2016 08:10:11 AM,End : ,01/01/2016 08:10:40 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94131,APPLE FUJI,.560,$1.19,$.67,,,,,,,,,
361,FA CROISSANT,1.000,$2.25,$2.25,,,,,,,,,
657227000506,ESS BOTTLED WATER,1.000,$1.50,$1.50,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
,Cash,,,$10.00,,,,,,,,,
,SUBTOTAL,,,$4.47,,,,,,,,,
,TOTAL,,,$4.47,,,,,,,,,
,TOTAL TENDERED,,,$10.00,,,,,,,,,
,Change,,,$5.53,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67973,Invoice Number :,RS106067973,Start :,01/01/2016 08:18:39 AM,End : ,01/01/2016 08:19:19 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
104,COFFEE OWN CUP/REFILL,1.000,$1.00,$1.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67973,Invoice Number :,RS106067973,Start :,01/01/2016 08:18:39 AM,End : ,01/01/2016 08:19:19 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
104,COFFEE OWN CUP/REFILL,1.000,$1.00,$1.00,,,,,,,,,
,Debit Card,,,$42.00,,,,,,,,,
,SUBTOTAL,,,$2.00,,,,,,,,,
,TOTAL,,,$2.00,,,,,,,,,
,TOTAL TENDERED,,,$42.00,,,,,,,,,
,Change,,,$40.00,,,,,,,,,
,Amount: 42.00,,,,,,,,,,,,
,Date: 1/1/16 8:19:19 AM PST,,,,,,,,,,,,
,Reference #: 0008,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67974,Invoice Number :,RS106067974,Start :,01/01/2016 08:19:37 AM,End : ,01/01/2016 08:19:58 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
729582116403,SUNSPR COCONUT BAR 1.75 OZ,2.000,$2.29,$4.58,,,,,,,,,
881314661510,GREEN OAKS EGGS,1.000,$5.99,$5.99,,,,,,,,,
,DISC STAFF 15%,,,($.69),,,,,,,,,
,DISC STAFF 15%,,,($.90),,,,,,,,,
,Credit Card,,,$8.98,,,,,,,,,
,SUBTOTAL,,,$8.98,,,,,,,,,
,TOTAL,,,$8.98,,,,,,,,,
,TOTAL TENDERED,,,$8.98,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 8.98,,,,,,,,,,,,
,Approval #: 00114R,,,,,,,,,,,,
,Date: 1/1/16 8:19:58 AM PST,,,,,,,,,,,,
,Reference #: 0009,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67975,Invoice Number :,RS106067975,Start :,01/01/2016 08:20:09 AM,End : ,01/01/2016 08:21:23 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
093966000917,OVAL WHL MILK QUART,1.000,$2.99,$2.99,,,,,,,,,
D05DAIRY,DAIRY OPEN ITEM,1.000,$5.99,$5.99,,,,,,,,,
,Debit Card,,,$8.98,,,,,,,,,
,SUBTOTAL,,,$8.98,,,,,,,,,
,TOTAL,,,$8.98,,,,,,,,,
,TOTAL TENDERED,,,$8.98,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 8.98,,,,,,,,,,,,
,Date: 1/1/16 8:21:23 AM PST,,,,,,,,,,,,
,Reference #: 0010,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64809,Invoice Number :,RS105064809,Start :,01/01/2016 08:21:39 AM,End : ,01/01/2016 08:23:06 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
668,FA BRKFST WRAP,2.000,$2.99,$5.98,,,,,,,,,
,DISC STAFF 15%,,,($.90),,,,,,,,,
,Cash,,,$20.10,,,,,,,,,
,SUBTOTAL,,,$5.08,,,,,,,,,
,TOTAL,,,$5.08,,,,,,,,,
,TOTAL TENDERED,,,$20.10,,,,,,,,,
,Change,,,$15.02,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64810,Invoice Number :,RS105064810,Start :,01/01/2016 08:32:32 AM,End : ,01/01/2016 08:35:45 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
649,FA COMBINED FOOD BAR,.460,$8.99,$4.14,,,,,,,,,
019815530077,DECASA TORTILLA YELL,1.000,$1.79,$1.79,,,,,,,,,
07092,CC LAMB LOIN CHOPS,.570,$19.99,$11.39,,,,,,,,,
052334116599,EVK SALSA‚ MILD,1.000,$3.79,$3.79,,,,,,,,,
052334116599,Removed >> EVK SALSA‚ MILD,(1.000),$3.79,($3.79),,,,,,,,,
2580,RAISIN OG THOMP,.580,$3.39,$1.97,,,,,,,,,
3147,PASTA ORZO OG,1.580,$3.49,$5.51,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64810,Invoice Number :,RS105064810,Start :,01/01/2016 08:32:32 AM,End : ,01/01/2016 08:35:45 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1511,CHOC CHIP DK OG,.750,$7.69,$5.77,,,,,,,,,
3075,WALNUTS ORGANIC,1.820,$16.89,$30.74,,,,,,,,,
3075,Removed >> WALNUTS ORGANIC,(1.820),$16.89,($30.74),,,,,,,,,
3075,WALNUTS ORGANIC,1.680,$16.89,$28.38,,,,,,,,,
07092,CC LAMB LOIN CHOPS,.545,$19.99,$10.89,,,,,,,,,
076344079026,WLNS CAN CAT SALMON,1.000,$2.39,$2.39,,,,,,,,,
2575,SAUERKRAUT BASIL GAR,1.820,$7.19,$13.09,,,,,,,,,
2575,Removed >> SAUERKRAUT BASIL GAR,(1.820),$7.19,($13.09),,,,,,,,,
2757,OATS ROLLED OG,1.820,$1.19,$2.17,,,,,,,,,
94090,SPINACH BUNCH,1.000,$2.99,$2.99,,,,,,,,,
042563003050,NAT SEA NS ALASK SAL,1.000,$4.19,$4.19,,,,,,,,,
042563006051,NAT SEA TUNA NS 6 OZ,1.000,$3.49,$3.49,,,,,,,,,
360,FA FRESH MUFFIN,2.000,$2.25,$4.50,,,,,,,,,
,DISC SUPPORT 15%,,,($.63),,,,,,,,,
,DISC SUPPORT 15%,,,($.27),,,,,,,,,
,DISC SUPPORT 15%,,,($1.71),,,,,,,,,
,DISC SUPPORT 15%,,,($.30),,,,,,,,,
,DISC SUPPORT 15%,,,($.83),,,,,,,,,
,DISC SUPPORT 15%,,,($.87),,,,,,,,,
,DISC SUPPORT 15%,,,($4.26),,,,,,,,,
,DISC SUPPORT 15%,,,($1.64),,,,,,,,,
,DISC SUPPORT 15%,,,($.36),,,,,,,,,
,DISC SUPPORT 15%,,,($.33),,,,,,,,,
,DISC SUPPORT 15%,,,($.45),,,,,,,,,
,DISC SUPPORT 15%,,,($.63),,,,,,,,,
,DISC SUPPORT 15%,,,($.53),,,,,,,,,
,DISC SUPPORT 15%,,,($.68),,,,,,,,,
,Credit Card,,,$76.08,,,,,,,,,
,SUBTOTAL,,,$76.08,,,,,,,,,
,TOTAL,,,$76.08,,,,,,,,,
,TOTAL TENDERED,,,$76.08,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 76.08,,,,,,,,,,,,
,Approval #: 01105Z,,,,,,,,,,,,
,Date: 1/1/16 8:35:45 AM PST,,,,,,,,,,,,
,Reference #: 0011,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64811,Invoice Number :,RS105064811,Start :,01/01/2016 08:36:09 AM,End : ,01/01/2016 08:36:36 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
2001,Water,2.000,$.30,$.60,,,,,,,,,
072904000035,MEYEN GOAT MILK,1.000,$4.29,$4.29,,,,,,,,,
,Credit Card,,,$4.89,,,,,,,,,
,SUBTOTAL,,,$4.89,,,,,,,,,
,TOTAL,,,$4.89,,,,,,,,,
,TOTAL TENDERED,,,$4.89,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 4.89,,,,,,,,,,,,
,Approval #: 00115B,,,,,,,,,,,,
,Date: 1/1/16 8:36:36 AM PST,,,,,,,,,,,,
,Reference #: 0012,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67976,Invoice Number :,RS106067976,Start :,01/01/2016 08:42:27 AM,End : ,01/01/2016 08:43:21 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
360,FA FRESH MUFFIN,1.000,$2.25,$2.25,,,,,,,,,
361,FA CROISSANT,1.000,$2.25,$2.25,,,,,,,,,
1908,PACIF TIMOR,.990,$10.69,$10.58,,,,,,,,,
,Debit Card,,,$35.08,,,,,,,,,
,SUBTOTAL,,,$15.08,,,,,,,,,
,TOTAL,,,$15.08,,,,,,,,,
,TOTAL TENDERED,,,$35.08,,,,,,,,,
,Change,,,$20.00,,,,,,,,,
,Amount: 35.08,,,,,,,,,,,,
,Date: 1/1/16 8:43:21 AM PST,,,,,,,,,,,,
,Reference #: 0013,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67977,Invoice Number :,RS106067977,Start :,01/01/2016 08:43:33 AM,End : ,01/01/2016 08:43:33 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,67978,Invoice Number :,RS106067978,Start :,01/01/2016 08:48:06 AM,End : ,01/01/2016 08:48:50 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
105,COFFEE 16 OZ,2.000,$1.75,$3.50,,,,,,,,,
668,FA BRKFST WRAP,1.000,$2.99,$2.99,,,,,,,,,
,Debit Card,,,$6.49,,,,,,,,,
,SUBTOTAL,,,$6.49,,,,,,,,,
,TOTAL,,,$6.49,,,,,,,,,
,TOTAL TENDERED,,,$6.49,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 6.49,,,,,,,,,,,,
,Date: 1/1/16 8:48:50 AM PST,,,,,,,,,,,,
,Reference #: 0014,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64812,Invoice Number :,RS105064812,Start :,01/01/2016 08:57:59 AM,End : ,01/01/2016 08:59:27 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
076950415317,YOGI TEA BLACK CHAI,1.000,$3.00,$3.00,,,,,,,,,
076950415317,YOGI TEA BLACK CHAI,1.000,$3.00,$3.00,,,,,,,,,
012511891671,WS OG HONEY 16 OZ,1.000,$8.89,$8.89,,,,,,,,,
94011,BANANA,2.060,$.99,$2.04,,,,,,,,,
071879124913,JENNIES COCONUT MACA,1.000,$3.99,$3.99,,,,,,,,,
089958801211,LLF GMF WHOLE MILK,1.000,$3.99,$3.99,,,,,,,,,
33,LLF DEPOSIT,1.000,$2.25,$2.25,,,,,,,,,
00670,FA TEMPEH BANG BANG,.360,$8.99,$3.24,,,,,,,,,
02880,FA CURRY LIME CHICKE,.395,$9.69,$3.83,,,,,,,,,
02853,FA FOG CITY SALAD,.411,$6.99,$2.87,,,,,,,,,
02853,FA FOG CITY SALAD,.385,$6.99,$2.69,,,,,,,,,
07500,LONELY APPLEWOOD BAC,.710,$12.19,$8.65,,,,,,,,,
013964898897,WRD DUCK EGGS,1.000,$5.69,$5.69,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64812,Invoice Number :,RS105064812,Start :,01/01/2016 08:57:59 AM,End : ,01/01/2016 08:59:27 AM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Credit Card,,,$54.13,,,,,,,,,
,SUBTOTAL,,,$54.13,,,,,,,,,
,TOTAL,,,$54.13,,,,,,,,,
,TOTAL TENDERED,,,$54.13,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 54.13,,,,,,,,,,,,
,Approval #: H11393,,,,,,,,,,,,
,Date: 1/1/16 8:59:27 AM PST,,,,,,,,,,,,
,Reference #: 0015,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
