id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,response
12234,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO
12235,66,FEMALE,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES
12236,53,FEMALE,TOWN,31334.8,YES,1,YES,YES,YES,NO,YES
12237,20,FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,NO
12238,57,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,NO,YES
12239,65,FEMALE,RURAL,42173.9,YES,0,NO,YES,YES,NO,NO
12240,64,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,YES
12241,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO
12242,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO,NO
12243,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO
12244,64,MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,NO
12245,25,MALE,INNER_CITY,18923,YES,1,NO,YES,YES,NO,YES
12246,58,MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,YES
12247,34,MALE,TOWN,20236.2,YES,2,YES,NO,YES,NO,NO
12248,20,FEMALE,INNER_CITY,18860.3,NO,2,NO,YES,YES,NO,NO
12249,63,MALE,RURAL,25732.5,YES,0,YES,YES,NO,NO,NO
12250,30,FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,NO
12251,53,MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,YES
12252,43,MALE,TOWN,36432.8,NO,2,YES,NO,YES,NO,YES
12253,63,MALE,TOWN,54618.8,YES,2,NO,YES,NO,YES,YES
12254,33,MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES,YES
12255,41,MALE,RURAL,23356.1,NO,2,YES,NO,NO,NO,NO
12256,20,FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,NO,YES
12257,50,MALE,TOWN,26462.5,YES,0,YES,YES,YES,NO,NO
12258,24,MALE,RURAL,20467.3,YES,2,YES,YES,YES,NO,NO
12259,60,FEMALE,TOWN,21506.2,YES,0,NO,NO,YES,NO,YES
12260,44,FEMALE,TOWN,15315.3,YES,1,NO,YES,YES,NO,YES
12261,23,MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO,NO
12262,40,FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,NO
12263,49,FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO,NO
12264,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO
12265,40,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,NO
12266,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES
12267,20,MALE,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO
12268,24,MALE,INNER_CITY,8562.86,NO,1,NO,NO,NO,YES,NO
12269,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO
12270,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO
12271,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO
12272,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO
12273,35,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO
12274,34,MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES
12275,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES
12276,58,FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES
12277,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO
12278,41,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES
12279,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES
12280,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES
12281,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES
12282,60,MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES
12283,65,FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO
12284,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO
12285,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO
12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES
12287,20,FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES
12288,48,FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES
12289,38,MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO
12290,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO
12291,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES
12292,39,MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO
12293,64,FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES
12294,41,MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES
12295,55,MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES
12296,52,MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES
12297,30,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES
12298,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES
12299,26,MALE,INNER_CITY,14585.9,NO,2,,NO,YES,YES,NO
12300,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES
12301,46,MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES
12302,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO
12303,52,MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO
12304,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO
12305,22,MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES
12306,18,MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES
12307,63,MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES
12308,25,FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO
12309,67,MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO
12310,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES
12311,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES
12312,58,MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES
12313,22,MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES
12314,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES
12315,23,MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO
12316,27,MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO
12317,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO
12318,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO
12319,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES
12320,35,FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO
12321,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO
12322,47,MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES
12323,42,FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES
12324,67,FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO
12325,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES
12326,47,FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES
12327,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES
12328,56,MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES
12329,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES
12330,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES
12331,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES
12332,31,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO
12333,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES
12334,32,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO
12335,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO
12336,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES
12337,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES
12338,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO
12339,26,FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO
12340,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO
12341,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO
12342,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES
12343,67,MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES
12344,34,FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO
12345,50,MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO
12346,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO
12347,23,FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO
12348,26,MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO
12349,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO
12350,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO
12351,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO
12352,45,FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES
12353,23,MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO
12354,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES
12355,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO
12356,62,FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES
12357,49,FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO
12358,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO
12359,38,FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO
12360,36,MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO
12361,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO
12362,40,FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES
12363,40,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO
12364,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO
12365,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES
12366,21,MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES
12367,58,MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES
12368,48,FEMALE,SUBURBAN,30396.1,NO,0,,YES,YES,NO,YES
12369,63,FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO
12370,20,MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO
12371,67,FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES
12372,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES
12373,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO
12374,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES
12375,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO
12376,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES
12377,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES
12378,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES
12379,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO
12380,40,MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES
12381,32,MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES
12382,18,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO
12383,64,MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES
12384,43,FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO
12385,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO
12386,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO
12387,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES
12388,58,FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO
12389,33,MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO
12390,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES
12391,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES
12392,44,FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES
12393,51,MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES
12394,26,FEMALE,TOWN,20950.7,YES,0,NO,YES,YES,NO,NO
12395,42,MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,NO
12396,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,NO
12397,54,FEMALE,RURAL,24583.4,NO,2,YES,YES,YES,YES,NO
12398,18,MALE,RURAL,8639.24,YES,2,NO,NO,NO,NO,NO
12399,47,FEMALE,INNER_CITY,17139.5,NO,2,YES,NO,YES,NO,NO
12400,24,FEMALE,INNER_CITY,13667.7,YES,0,NO,YES,YES,NO,NO
12401,19,FEMALE,INNER_CITY,8162.42,YES,1,YES,YES,YES,YES,NO
12402,37,FEMALE,TOWN,15349.6,YES,0,NO,YES,NO,NO,NO
12403,45,FEMALE,TOWN,29231.4,YES,0,NO,YES,NO,NO,NO
12404,49,MALE,RURAL,41462.3,YES,3,NO,YES,YES,YES,NO
12405,67,FEMALE,RURAL,57398.1,NO,3,NO,YES,YES,NO,YES
12406,35,FEMALE,RURAL,11520.8,YES,0,NO,NO,YES,NO,NO
12407,63,MALE,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,YES
12408,38,MALE,RURAL,26281.4,NO,0,YES,YES,YES,NO,YES
12409,48,MALE,TOWN,25683.4,NO,2,YES,YES,YES,NO,NO
12410,28,FEMALE,INNER_CITY,11920.7,NO,1,NO,YES,YES,NO,NO
12411,46,MALE,TOWN,30658.7,YES,0,NO,YES,YES,NO,NO
12412,66,MALE,INNER_CITY,36646.4,NO,1,NO,YES,YES,NO,YES
12413,61,FEMALE,TOWN,30760.4,NO,2,YES,NO,YES,NO,YES
12414,18,FEMALE,RURAL,16109.9,NO,2,YES,YES,YES,NO,NO
12415,54,FEMALE,TOWN,18036.7,YES,0,YES,YES,NO,NO,NO
12416,45,MALE,RURAL,42628.3,NO,0,YES,YES,YES,YES,NO
12417,60,MALE,INNER_CITY,22110.1,NO,2,YES,YES,YES,NO,NO
12418,45,FEMALE,TOWN,37689.1,NO,1,NO,YES,YES,YES,YES
12419,31,FEMALE,INNER_CITY,23171.8,NO,2,NO,YES,NO,NO,NO
12420,39,MALE,SUBURBAN,21951.3,NO,0,YES,YES,YES,YES,NO
12421,53,MALE,INNER_CITY,38103.4,NO,2,YES,YES,YES,NO,YES
12422,35,MALE,RURAL,22882.9,YES,0,YES,NO,NO,YES,YES
12423,25,FEMALE,TOWN,11043.7,YES,1,YES,YES,NO,YES,NO
12424,32,MALE,TOWN,24027.6,NO,0,NO,YES,YES,NO,YES
12425,36,MALE,SUBURBAN,28495.1,YES,0,,YES,YES,NO,NO
12426,24,FEMALE,TOWN,9465.21,NO,0,,NO,YES,NO,YES
12427,39,MALE,INNER_CITY,34852.3,YES,1,NO,YES,NO,YES,YES
12428,24,MALE,INNER_CITY,21268.4,YES,0,NO,NO,YES,YES,YES
12429,57,FEMALE,RURAL,50849.2,NO,1,NO,YES,NO,YES,YES
12430,27,FEMALE,TOWN,18555.9,YES,3,NO,NO,YES,NO,NO
12431,66,FEMALE,RURAL,52769.9,YES,3,YES,YES,YES,NO,YES
12432,18,FEMALE,INNER_CITY,11601.4,YES,2,NO,YES,YES,YES,NO
12433,33,FEMALE,TOWN,29541.7,YES,0,NO,YES,NO,NO,NO
12434,48,MALE,SUBURBAN,17861,YES,2,NO,YES,YES,NO,NO
12435,23,FEMALE,SUBURBAN,21042,YES,1,NO,NO,YES,NO,YES
12436,44,MALE,TOWN,26688.1,YES,1,NO,YES,NO,YES,YES
12437,39,MALE,INNER_CITY,26900.6,YES,2,NO,NO,NO,YES,NO
