manufact,model,sales,resale,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,country
Oldsmobile,Aurora,14.69,19.89,36.23,4,250,113.8,74.4,205.4,3.967,18.5,22,United States
Oldsmobile,Bravada,20.02,19.925,31.6,4.3,190,107,67.8,181.2,4.068,17.5,19,United States
Oldsmobile,Silhouette,24.36,15.24,25.35,3.4,185,120,72.2,201.4,3.948,25,22,United States
Pontiac,Sunfire,51.65,13.79,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,United States
Pontiac,Grand Am,131.1,10.29,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,United States
Pontiac,Firebird,19.91,17.805,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,United States
Pontiac,Grand Prix,92.36,14.01,21.67,3.8,195,110.5,72.7,196.5,3.396,18,25,United States
Pontiac,Bonneville,35.95,13.225,23.76,3.8,205,112.2,72.6,202.5,3.59,17.5,24,United States
Pontiac,Montana,39.57,,25.64,3.4,185,120,72.7,201.3,3.942,25,23,United States
Toyota,Corolla,142.54,10.025,13.11,1.8,120,97,66.7,174,2.42,13.2,33,Japan
Toyota,Camry,247.99,13.245,17.52,2.2,133,105.2,70.1,188.5,2.998,18.5,27,Japan
Toyota,Avalon,63.85,18.14,25.55,3,210,107.1,71.7,191.9,3.417,18.5,26,Japan
Toyota,Celica,33.27,15.445,16.88,1.8,140,102.4,68.3,170.5,2.425,14.5,31,Japan
Toyota,Tacoma,84.09,9.575,11.53,2.4,142,103.3,66.5,178.7,2.58,15.1,23,Japan
Toyota,Sienna,65.12,,22.37,3,194,114.2,73.4,193.5,3.759,20.9,22,Japan
Toyota,RAV4,25.11,13.325,16.89,2,127,94.9,66.7,163.8,2.668,15.3,27,Japan
Toyota,4Runner,68.41,19.425,22.29,2.7,150,105.3,66.5,183.3,3.44,18.5,23,Japan
Toyota,Land Cruiser,9.84,34.08,51.73,4.7,230,112.2,76.4,192.5,5.115,25.4,15,Japan
Volkswagen,Golf,9.76,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,Germany
Volkswagen,Jetta,83.72,13.24,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,Germany
Volkswagen,Passat,51.1,16.725,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,Germany
Volkswagen,Cabrio,9.57,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,Germany
Volkswagen,GTI,5.6,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,Germany
Volkswagen,Beetle,49.46,,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,Germany
Volvo,S40,16.96,,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,Sweden
Volvo,V40,3.55,,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,Sweden
Volvo,S70,15.25,,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,Sweden
Volvo,V70,17.53,,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,Sweden
Volvo,C70,3.49,,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,Sweden
Volvo,S80,18.97,,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,Sweden
